"","times_snp_appears"
"3044.1",1
"13228.1",1
"13229.1",1
"13269.1",1
"13281.1",1
"22858.1",1
"27469.1",2
"38485.1",1
"57032.1",1
"67885.1",2
"72404.1",1
"73579.1",1
"75051.1",2
"75163.1",1
"75331.1",2
"75706.1",1
"80401.1",1
"84921.1",1
"91876.1",1
"94373.1",1
"95703.1",1
"95793.1",1
"95928.1",1
"96132.1",1
"101355.1",2
"103134.1",1
"138948.1",1
"138990.1",1
"143224.1",9
"143269.1",3
"143285.1",2
"143476.1",3
"143501.1",1
"143544.1",1
"143552.1",6
"143720.1",1
"143774.1",3
"143838.1",1
"143885.1",3
"143954.1",1
"143978.1",1
"144494.1",13
"144494.2",10
"144563.1",12
"144842.1",1
"144847.1",1
"144955.1",5
"145091.1",3
"145118.1",3
"145163.1",5
"145199.1",1
"145199.2",2
"145347.1",1
"145371.1",4
"145436.1",1
"145487.1",2
"145493.1",2
"145508.1",3
"145547.1",3
"145583.1",2
"145595.1",20
"145643.1",6
"145667.1",2
"145691.1",5
"145696.1",1
"145772.1",2
"145799.1",2
"145803.1",1
"145832.1",1
"145838.1",3
"145838.2",4
"145841.1",3
"145853.1",2
"146390.1",1
"146512.1",2
"146531.1",15
"146578.1",1
"146608.1",1
"146614.1",1
"146630.1",4
"146632.1",1
"146644.1",1
"146659.1",5
"146680.1",4
"146681.1",12
"147463.1",3
"147472.1",3
"147931.1",13
"147934.1",13
"148483.1",1
"148906.1",2
"153226.1",1
"164331.1",1
"170686.1",1
"174611.1",1
"174812.1",1
"175403.1",1
"185013.1",1
"196669.1",1
"214595.1",1
"217560.1",1
"229504.1",1
"230238.1",1
"245708.1",1
"254481.1",1
"255046.1",2
"266942.1",1
"270127.1",1
"278954.1",1
"282775.1",1
"287820.1",1
"289444.1",1
"289450.1",1
"289858.1",1
"290784.1",1
"293722.1",3
"293734.1",4
"294802.1",4
"294917.1",2
"294918.1",2
"294931.1",7
"295425.1",1
"295627.1",2
"295716.1",1
"295803.1",1
"296465.1",1
"296708.1",1
"296732.1",1
"296780.1",1
"296870.1",1
"296948.1",1
"296969.1",1
"297005.1",1
"297056.1",1
"298074.1",1
"298134.1",1
"298245.1",1
"298332.1",1
"298401.1",1
"298440.1",1
"298807.1",4
"299287.1",1
"299605.1",1
"299611.1",1
"299707.1",1
"299716.1",1
"299752.1",1
"299866.1",1
"299977.1",1
"300167.1",1
"300193.1",1
"300247.1",1
"300379.1",1
"300427.1",1
"300460.1",2
"300541.1",1
"300631.1",1
"300652.1",1
"300652.2",1
"300811.1",1
"300823.1",1
"300895.1",1
"300907.1",1
"300922.1",2
"300931.1",2
"300952.1",2
"300988.1",1
"301068.1",1
"301069.1",1
"301126.1",1
"301174.1",1
"301177.1",7
"301177.2",1
"301564.1",1
"301688.1",1
"302149.1",1
"302149.2",1
"302362.1",1
"302395.1",3
"302443.1",1
"302461.1",5
"302515.1",1
"302668.1",1
"302677.1",4
"302683.1",1
"302707.1",1
"302713.1",5
"302713.2",2
"302734.1",1
"302788.1",1
"302800.1",2
"302803.1",2
"302815.1",1
"302845.1",1
"302983.1",1
"303088.1",1
"303352.1",1
"303433.1",1
"303442.1",2
"303457.1",1
"303544.1",1
"303565.1",5
"304051.1",1
"304219.1",3
"304312.1",1
"304321.1",2
"304479.1",1
"304527.1",6
"305131.1",6
"305251.1",1
"305266.1",1
"305317.1",1
"305326.1",5
"305347.1",1
"305425.1",1
"305533.1",1
"305572.1",1
"305581.1",1
"305611.1",1
"305620.1",2
"305629.1",4
"305707.1",1
"305722.1",2
"305737.1",2
"305860.1",5
"306043.1",3
"306115.1",1
"306157.1",3
"306235.1",7
"306265.1",7
"306319.1",1
"306364.1",1
"306412.1",1
"306460.1",2
"306876.1",1
"307332.1",5
"307449.1",2
"307449.2",1
"307618.1",2
"307865.1",1
"308120.1",1
"308186.1",1
"308242.1",2
"308249.1",1
"308387.1",1
"308531.1",1
"308564.1",1
"308648.1",1
"308699.1",1
"309004.1",1
"309475.1",1
"309904.1",1
"310060.1",1
"310267.1",1
"312634.1",1
"313151.1",1
"313264.1",1
"315044.1",1
"317729.1",1
"317870.1",1
"318125.1",1
"318575.1",1
"319073.1",1
"320033.1",2
"320192.1",2
"320261.1",2
"320330.1",1
"320621.1",1
"320666.1",1
"320870.1",1
"321254.1",1
"321323.1",1
"321472.1",1
"321541.1",1
"321601.1",1
"321628.1",1
"321679.1",1
"321682.1",1
"321688.1",1
"321946.1",1
"322099.1",1
"322162.1",1
"322198.1",1
"322207.1",1
"322306.1",1
"322393.1",1
"322486.1",1
"322490.1",1
"322670.1",1
"323045.1",1
"323336.1",1
"323360.1",1
"323976.1",1
"323976.2",2
"323979.1",2
"324141.1",3
"324153.1",3
"324344.1",3
"324725.1",1
"324731.1",1
"324776.1",2
"325045.1",1
"325609.1",1
"325633.1",1
"325636.1",1
"325663.1",1
"325677.1",1
"325741.1",2
"325873.1",1
"325951.1",1
"325990.1",2
"326059.1",1
"326101.1",3
"326411.1",1
"327327.1",1
"343263.1",2
"344759.1",1
"359303.1",1
"366347.1",1
"375939.1",1
"377625.1",1
"384908.1",1
"387841.1",1
"395403.1",2
"396774.1",1
"417824.1",1
"420154.1",1
"423504.1",1
"444264.1",1
"447812.1",3
"450364.1",15
"450370.1",1
"450400.1",1
"450415.1",8
"450661.1",3
"451231.1",1
"451282.1",1
"451369.1",1
"452233.1",1
"454529.1",1
"455003.1",1
"457542.1",5
"457542.2",1
"458025.1",1
"462173.1",2
"463279.1",1
"464815.1",2
"465611.1",6
"465821.1",1
"465821.2",1
"468150.1",1
"470075.1",3
"470928.1",1
"472436.1",1
"473127.1",2
"474153.1",4
"474237.1",4
"474270.1",3
"474313.1",3
"474337.1",1
"474363.1",2
"474363.2",1
"474375.1",2
"474384.1",2
"474426.1",1
"474459.1",3
"474472.1",2
"474473.1",1
"474596.1",3
"479706.1",1
"483456.1",1
"483609.1",2
"500032.1",2
"502058.1",4
"519321.1",1
"572575.1",3
"572731.1",3
"577439.1",1
