"","times_snp_appears"
"60",1
"123",4
"201",4
"213",1
"249",4
"273",1
"303",1
"333",1
"351",5
"375",2
"408",4
"411",1
"435",1
"454",4
"462",1
"471",1
"498",1
"564",1
"570",1
"610",4
"735",1
"756",1
"757",1
"804",1
"942",1
"948",3
"963",1
"984",1
"1047",0
"1164",4
"1206",1
"1248",1
"1315",1
"1363",3
"1384",1
"1395",1
"1495",1
"1639",1
"1736",1
"1744",1
"1756",1
"1757",1
"1813",1
"1816",4
"1888",1
"1892",1
"1945",1
"1960",0
"1961",1
"1984",1
"2002",3
"2014",1
"2018",1
"2074",1
"2107",4
"2121",2
"2188",1
"2206",0
"2212",0
"2245",1
"2254",1
"2263",1
"2293",1
"2332",2
"2341",1
"2380",1
"2422",1
"2443",0
"2461",1
"2470",1
"2497",4
"2503",1
"2521",1
"2530",4
"2542",1
"2563",1
"2618",1
"2843",1
"2979",0
"3235",1
"3304",2
"3314",1
"3331",1
"3346",1
"3349",1
"3385",0
"3391",1
"3394",4
"3425",1
"3511",1
"3522",2
"3525",1
"3568",1
"3576",1
"3630",1
"3640",1
"3691",1
"3715",1
"3772",1
"3796",1
"3922",1
"3934",1
"3943",1
"3952",1
"4051",4
"4052",1
"4231",1
"4330",1
"4402",1
"4532",3
"4546",4
"4552",1
"4560",1
"4570",4
"4588",2
"4594",2
"4624",1
"4702",1
"4708",1
"4717",1
"4756",1
"4795",3
"4801",1
"4819",7
"4900",1
"4921",1
"4969",3
"4972",14
"4978",2
"5008",1
"5011",1
"5047",1
"5053",1
"5071",1
"5080",1
"5113",3
"5167",1
"5185",1
"5213",1
"5215",1
"5218",1
"5230",1
"5240",4
"5241",1
"5254",4
"5269",1
"5311",1
"5323",3
"5336",1
"5338",3
"5371",1
"5390",1
"5407",1
"5419",1
"5420",3
"5421",1
"5425",1
"5443",1
"5455",1
"5488",3
"5509",1
"5528",4
"5602",0
"5638",4
"5647",1
"5650",1
"5653",3
"5712",1
"5713",4
"5716",3
"5734",1
"5743",4
"5752",1
"5770",1
"5773",1
"5782",1
"5803",1
"5807",5
"5830",1
"5845",4
"5869",1
"5905",1
"5932",4
"5935",4
"5986",1
"6001",1
"6034",0
"6122",1
"6137",3
"6146",1
"6207",1
"6251",2
"6278",1
"6287",2
"6290",1
"6310",10
"6356",3
"6404",1
"6417",1
"6446",1
"6467",1
"6518",4
"6536",2
"6545",1
"6620",1
"6623",1
"6680",1
"6737",1
"6812",3
"6813",1
"6869",1
"6878",1
"6884",4
"6893",1
"7019",1
"7034",1
"7052",3
"7100",1
"7160",1
"7193",1
"7265",1
"7281",1
"7301",1
"7304",1
"7316",1
"7397",1
"7427",2
"7454",1
"7467",1
"7592",1
"7643",4
"7694",4
"7697",1
"7700",1
"7701",1
"7781",1
"7805",1
"7807",1
"7832",2
"7903",1
"7907",2
"7913",3
"7925",1
"7937",1
"7964",1
"7976",7
"7982",4
"8024",4
"8030",1
"8111",1
"8147",1
"8165",2
"8171",0
"8222",1
"8285",1
"8294",4
"8324",1
"8327",1
"8360",3
"8417",4
"8438",2
"8450",1
"8552",1
"8647",1
"8698",0
"8707",2
"8767",4
"8770",2
"8797",3
"8837",1
"8877",1
"8910",1
"8943",1
"8946",3
"8955",1
"9024",2
"9036",1
"9069",1
"9128",3
"9185",1
"9233",3
"9241",2
"9254",1
"9282",2
"9288",1
"9311",6
"9372",2
"9389",4
"9394",0
"9417",1
"9435",1
"9512",1
"9521",1
"9575",6
"9584",1
"9596",7
"9602",3
"9614",1
"9624",1
"9627",1
"9629",6
"9633",3
"9635",1
"9667",1
"9713",1
"9743",2
"9758",1
"9788",3
"9812",1
"9943",1
"9949",1
"10093",1
"10108",1
"10114",2
"10156",1
"10159",8
"10162",1
"10186",1
"10222",3
"10234",1
"10246",1
"10249",1
"10285",3
"10294",1
"10304",1
"10312",3
"10318",1
"10408",1
"10483",1
"10525",2
"10543",1
"10547",1
"10558",1
"10561",1
"10576",1
"10601",2
"10623",1
"10676",1
"12329",4
"12609",7
"12614",6
"12676",1
"12690",2
"15966",0
"15975",1
"15980",0
"15981",0
"15982",0
"15988",0
"15989",2
"15994",0
"16012",0
"16044",0
"16054",1
"16075",19
"16100",0
"16114",2
"16132",1
"16145",0
"16146",0
"16147",0
"16153",3
"16164",2
"16165",0
"16174",0
"16175",0
"16192",1
"16204",0
"16217",1
"16282",0
"16294",0
"16303",2
"16309",0
"16312",1
"16315",0
"16316",1
"16317",0
"16318",1
"16319",0
"16351",0
"16357",10
"16360",1
"16369",0
"16373",0
"16375",0
"16378",0
"16384",3
"16387",15
"16417",1
"16423",0
"16430",1
"16433",1
"16435",0
"16453",0
"16456",0
"16468",0
"16474",1
"16477",1
"16492",0
"16498",0
"16499",1
"16504",3
"16507",0
"16516",0
"16535",0
"16538",0
"16546",1
"16549",0
"16556",5
"16560",0
"16565",0
"16566",0
"16573",0
"16577",0
"16584",0
"16585",0
"16586",2
"16591",1
"16597",1
"16605",2
"16610",2
"16629",0
"16636",1
"16641",0
"16653",0
"16656",1
"16665",0
"16686",0
"16687",0
"16692",0
"16731",0
"16740",0
"16749",0
"16761",0
"16772",0
"16784",0
"16789",0
"16821",1
"16827",2
"16845",0
"16878",4
"16881",0
"16884",2
"16885",0
"16893",1
"16914",2
"16920",0
"16953",0
"16980",2
"16983",1
"16986",1
"16998",1
"17037",0
"17052",0
"17064",0
"17079",0
"17091",0
"17094",3
"17109",0
"17121",0
"17124",0
"17131",0
"17142",0
"17166",3
"17169",0
"17178",0
"17217",1
"17221",1
"17232",0
"17234",0
"17238",0
"17252",1
"17256",0
"17265",0
"17271",0
"17272",0
"17277",0
"17282",1
"17283",0
"17286",0
"17289",0
"17296",9
"17313",0
"17316",2
"17319",0
"17331",3
"17340",0
"17346",0
"17370",0
"17373",8
"17391",0
"17394",0
"17409",0
"17412",0
"17416",0
"17442",0
"17445",0
"17462",0
"17463",0
"17464",0
"17466",0
"17470",1
"17471",0
"17493",0
"17494",0
"17495",1
"17497",2
"17499",0
"17506",1
"17509",1
"17515",1
"17629",0
"17683",0
"17731",1
"17772",0
"17783",0
"17858",0
"17861",2
"17872",0
"17876",0
"17877",1
"17878",1
"17885",0
"17886",0
"17889",0
"17893",0
"17894",1
"17901",1
"17919",0
"17981",1
"17982",2
"17996",2
"18017",2
"18022",1
"18044",8
"18047",2
"18051",0
"18053",3
"18071",2
"18089",2
"18104",2
"18125",1
"18131",2
"18149",1
"18152",1
"18170",1
"18171",0
"18176",1
"18179",2
"18197",5
"18206",2
"18248",2
"18249",1
"18254",2
"18287",1
"18311",5
"18338",5
"18351",1
"18356",2
"18359",3
"18360",0
"18362",2
"18368",3
"18380",2
"18383",0
"18386",2
"18395",1
"18398",2
"18401",1
"18416",2
"18419",2
"18431",2
"18437",2
"18452",4
"18455",1
"18456",2
"18461",1
"18515",1
"18521",1
"18527",0
"18533",3
"18551",1
"18572",5
"18575",1
"18608",1
"18611",1
"18653",1
"18680",1
"18692",1
"18698",1
"18713",1
"18821",1
"18824",3
"18861",1
"18881",5
"18911",1
"18926",1
"18935",1
"18956",5
"18980",1
"19016",4
"19061",8
"19097",1
"19115",5
"19157",4
"19219",5
"19220",1
"19224",5
"19233",1
"19241",1
"19243",4
"19248",1
"19257",5
"19265",1
"19268",1
"19271",1
"19283",1
"19291",4
"19296",1
"19308",2
"19311",1
"19339",1
"19348",1
"19350",5
"19351",5
"19352",1
"19392",5
"19396",2
"19403",1
"19426",1
"19432",1
"19433",2
"19434",8
"19445",0
"19458",1
"19551",3
"19687",1
"19693",3
"19696",1
"19705",1
"19713",1
"19714",1
"19730",1
"19757",2
"19804",0
"19853",1
"19873",1
"19879",5
"19924",1
"19984",1
"20100",0
"20121",1
"20325",1
"20326",1
"20356",1
"20451",1
"20508",5
"20514",1
"20517",1
"20553",3
"20556",4
"20565",1
"20567",1
"20601",1
"20619",1
"20643",1
"20646",1
"20652",1
"20661",1
"20691",1
"20703",3
"20704",1
"20712",2
"20745",1
"20754",1
"20763",5
"20811",1
"20881",2
"20961",1
"20970",1
"20985",1
"20994",1
"21009",1
"21012",1
"21015",3
"21018",1
