"","times_snp_appears"
"8938.1",2
"29213.1",1
"41640.1",1
"48106.1",1
"54291.1",1
"59243.1",1
"61822.1",1
"65684.1",1
"66365.1",4
"94778.1",2
"98919.1",1
"99710.1",1
"112366.1",1
"155570.1",2
"165428.1",1
"167964.1",1
"170986.1",1
"204460.1",1
"221315.1",2
"247962.1",2
"283693.1",2
"285159.1",2
"292026.1",1
"295427.1",2
"295493.1",1
"295856.1",1
"299547.1",1
"307473.1",1
"307770.1",1
"308325.1",1
"310791.1",5
"311319.1",5
"311322.1",1
"316489.1",1
"316977.1",1
"319012.1",1
"334576.1",1
"345353.1",2
"348492.1",1
"374675.1",2
"375472.1",1
"390009.1",1
"394161.1",1
"407281.1",1
"413938.1",2
"416216.1",3
"419522.1",1
"419639.1",3
"426474.1",1
"427851.1",2
"436059.1",1
"436065.1",1
"451389.1",1
"452266.1",1
"455602.1",3
"486187.1",5
"486316.1",1
"486943.1",2
"493055.1",1
"504354.1",2
"506412.1",5
"513620.1",1
"520291.1",1
"521752.1",1
"539809.1",1
"540310.1",1
"541197.1",1
"542218.1",1
"543495.1",1
"554787.1",1
"560954.1",2
"562439.1",1
"565951.1",1
"573671.1",6
"577294.1",1
"577498.1",1
"577606.1",1
"578086.1",1
"579874.1",1
"580832.1",1
"581741.1",6
"602909.1",1
"602909.2",1
"604912.1",1
"606026.1",2
"608478.1",1
"615807.1",1
"617946.1",1
"620564.1",1
"620795.1",1
"622832.1",1
"625315.1",1
"637645.1",4
"637993.1",2
"641682.1",1
"648164.1",1
"648555.1",3
"660868.1",1
"666914.1",1
"668003.1",1
"672354.1",1
"672819.1",2
"673368.1",3
"674829.1",1
"676693.1",1
"677110.1",5
"678113.1",1
"681665.1",2
"682849.1",2
"683302.1",1
"684239.1",1
"702090.1",1
"719233.1",1
"720656.1",1
"726200.1",1
"728000.1",1
"730977.1",1
"752281.1",1
"757170.1",1
"757360.1",1
"770125.1",2
"783530.1",1
"794068.1",2
"794291.1",1
"801305.1",1
"840537.1",3
"844790.1",1
"861582.1",1
"876639.1",1
"883683.1",1
"888583.1",1
"888593.1",2
"898677.1",1
"902003.1",1
"905245.1",2
"907759.1",1
"931036.1",3
"946983.1",1
"951655.1",1
"954516.1",5
"959569.1",1
"971164.1",1
"985469.1",1
"999430.1",4
"999493.1",5
"1002476.1",1
"1008730.1",1
"1011639.1",2
"1044020.1",1
"1045521.1",1
"1057728.1",1
"1058307.1",3
"1082809.1",1
"1083288.1",1
"1088424.1",1
"1089924.1",1
"1091044.1",1
"1091569.1",2
"1093043.1",1
"1094044.1",1
"1108965.1",1
"1131206.1",1
"1137622.1",2
"1146228.1",1
"1164938.1",2
"1178320.1",1
"1204755.1",1
"1226707.1",1
"1230516.1",1
"1233412.1",2
"1252575.1",1
"1278341.1",1
"1282635.1",1
"1285486.1",3
"1285486.2",3
"1340013.1",1
"1352674.1",1
"1353327.1",1
"1355332.1",1
"1355815.1",1
"1361127.1",3
"1362443.1",1
"1364143.1",1
"1364620.1",2
"1373323.1",1
"1386354.1",2
"1389450.1",2
"1390558.1",1
"1405186.1",1
"1406476.1",1
"1407081.1",1
"1407123.1",1
"1409916.1",2
"1449499.1",1
"1461892.1",1
"1471296.1",1
"1472142.1",1
"1475978.1",1
"1486766.1",1
"1486796.1",3
"1486928.1",1
"1487133.1",1
"1487226.1",1
"1487250.1",1
"1487334.1",3
"1487343.1",3
"1492143.1",2
"1493414.1",1
"1509134.1",1
"1509488.1",1
"1513487.1",3
"1519561.1",2
"1523862.1",1
"1529954.1",1
"1553237.1",1
"1553841.1",1
"1574739.1",1
"1601103.1",1
"1606219.1",1
"1610232.1",1
"1623069.1",2
"1627898.1",1
"1647131.1",1
"1653734.1",1
"1670368.1",1
"1677712.1",1
"1677883.1",1
"1681613.1",2
"1697019.1",3
"1703020.1",1
"1708116.1",2
"1723134.1",2
"1729558.1",1
"1730101.1",1
"1748030.1",6
"1750460.1",2
"1774075.1",1
"1822361.1",1
"1825710.1",5
"1827464.1",1
"1828587.1",1
"1828813.1",1
"1829987.1",1
"1833800.1",1
"1835170.1",1
"1849733.1",2
"1856112.1",2
"1857975.1",2
"1862398.1",1
"1867399.1",1
"1871660.1",1
"1902285.1",2
"1912132.1",1
"1915507.1",1
"1931131.1",1
"1944224.1",1
"1947447.1",1
"1953331.1",1
"1957337.1",3
"1957461.1",2
"1958923.1",5
"1980361.1",3
"1980526.1",1
"1994413.1",1
"1998598.1",1
"2001081.1",1
"2008689.1",1
"2022118.1",1
"2044070.1",3
"2044442.1",1
"2056255.1",1
"2057473.1",1
"2059266.1",3
"2062738.1",1
"2064024.1",1
"2069726.1",1
"2083679.1",1
"2087330.1",1
"2089981.1",3
"2089984.1",1
"2091277.1",1
"2101207.1",1
"2107504.1",1
"2109866.1",1
"2110364.1",1
"2110492.1",1
"2111396.1",2
"2112316.1",1
"2124337.1",1
"2138078.1",1
"2160838.1",1
"2163397.1",1
"2192176.1",1
"2192528.1",2
"2192533.1",3
"2197114.1",1
"2199475.1",4
"2199770.1",2
"2203358.1",1
"2203403.1",2
"2204364.1",1
"2217335.1",2
"2232412.1",1
"2232451.1",1
"2232484.1",1
"2232688.1",1
"2236088.1",1
"2280995.1",1
"2281632.1",2
"2284301.1",1
"2286320.1",1
"2296283.1",1
"2297001.1",1
"2303002.1",1
"2305765.1",1
"2358498.1",1
"2361801.1",1
"2365319.1",1
"2366092.1",1
"2366844.1",1
"2377105.1",1
"2377672.1",6
"2387106.1",1
"2405225.1",1
"2415168.1",1
"2417537.1",1
"2417545.1",1
"2421593.1",1
"2433314.1",1
"2434791.1",3
"2435091.1",4
"2437310.1",3
"2439262.1",1
"2441904.1",1
"2446868.1",1
"2457196.1",1
"2467615.1",1
"2479792.1",1
"2486127.1",1
"2488892.1",1
"2491307.1",1
"2504163.1",2
"2510720.1",1
"2521089.1",1
"2522152.1",1
"2522707.1",2
"2531947.1",1
"2541132.1",2
"2541387.1",1
"2566256.1",1
"2587889.1",1
"2598592.1",6
"2601525.1",1
"2610933.1",1
"2614709.1",1
"2628166.1",1
"2639581.1",2
"2640440.1",1
"2649172.1",4
"2649201.1",1
"2662251.1",1
"2668152.1",1
"2669277.1",1
"2683473.1",2
"2684233.1",2
"2702078.1",2
"2703795.1",1
"2704115.1",1
"2741746.1",4
"2751579.1",1
"2755584.1",1
"2758616.1",1
"2760359.1",1
"2762146.1",1
"2766393.1",1
"2766609.1",1
"2777624.1",1
"2779435.1",1
"2784302.1",1
"2788091.1",1
"2798722.1",2
"2822945.1",1
"2835894.1",1
"2839806.1",1
"2840218.1",1
"2844931.1",1
"2846931.1",2
"2868250.1",1
"2868379.1",1
"2869911.1",1
"2895385.1",1
"2895908.1",1
"2899066.1",1
"2900648.1",1
"2901389.1",2
"2909960.1",2
"2916278.1",1
"2920646.1",1
"2933222.1",1
"2935293.1",2
"2936364.1",1
"2936800.1",7
"2943750.1",1
"2947611.1",1
"2951315.1",1
"2956173.1",1
"2961824.1",2
"2973438.1",1
"2980997.1",1
"2986143.1",1
"2994387.1",1
"3003230.1",2
"3007474.1",2
"3007475.1",1
"3013670.1",1
"3027339.1",1
"3027924.1",1
"3031043.1",1
"3031379.1",1
"3031780.1",1
"3032155.1",1
"3034401.1",4
"3035351.1",1
"3036321.1",1
"3036642.1",2
"3051220.1",1
"3075042.1",1
"3078272.1",1
"3080668.1",1
"3086558.1",1
"3094937.1",1
"3099294.1",1
"3102502.1",1
"3109578.1",1
"3123236.1",1
"3124558.1",1
"3134324.1",1
"3134518.1",1
"3136054.1",1
"3137973.1",4
"3148148.1",1
"3152344.1",1
"3160748.1",1
"3172962.1",1
"3172983.1",1
"3190421.1",1
"3190421.2",1
"3199799.1",1
"3239978.1",1
"3257855.1",1
"3264002.1",1
"3282160.1",2
"3288795.1",1
"3296353.1",1
"3300482.1",2
"3312006.1",1
"3316857.1",1
"3321856.1",1
"3333094.1",1
"3333237.1",1
"3333294.1",1
"3333298.1",1
"3333322.1",1
"3363958.1",1
"3375659.1",1
"3395132.1",2
"3401826.1",1
"3411509.1",1
"3435053.1",2
"3440678.1",1
"3441262.1",3
"3455674.1",1
"3465289.1",1
"3472549.1",1
"3473008.1",1
"3474327.1",1
"3474352.1",1
"3475003.1",1
"3477071.1",1
"3477546.1",1
"3478021.1",1
"3478036.1",1
"3487180.1",1
"3499153.1",1
"3499859.1",2
"3500291.1",1
"3503856.1",1
"3505690.1",1
"3515677.1",1
"3516781.1",1
"3518040.1",6
"3520606.1",2
"3520792.1",1
"3524873.1",1
"3525362.1",1
"3526057.1",2
"3528261.1",1
"3530482.1",2
"3531378.1",1
"3532091.1",1
"3532115.1",1
"3532388.1",1
"3532409.1",1
"3532711.1",1
"3532744.1",1
"3533568.1",2
"3533607.1",1
"3533715.1",2
"3536210.1",1
"3536839.1",1
"3537205.1",1
"3537233.1",1
"3547095.1",1
"3547149.1",1
"3547254.1",1
