,CB1,CB2,CB3,ERR2092980,ERR2092981,ERR1045849,ERR1045852,SRR447229,SRR447230,SRR447234,SRR515127,SRR515554,SRR515126,SRR515552,SRR064779,SRR447236,SRR447245,SRR447239,ERR1045847,ERR1045795,SRR2095366,ERR1045798,SRR6000499,ERR1045859,SRR3664368,SRR1151145,SRR5364843,ERR1045815
CB1,6262,6243,6229,5135,5131,5500,4858,3196,3189,3197,4316,4289,4681,4650,3894,3894,3895,3896,4817,4641,4290,1589,1568,1630,1623,1403,1427,1201
CB2,6243,6277,6214,5123,5118,5492,4846,3191,3184,3192,4308,4280,4671,4644,3889,3889,3891,3891,4809,4642,4290,1592,1570,1659,1651,1404,1425,1199
CB3,6229,6214,6259,5148,5143,5481,4853,3192,3184,3192,4313,4285,4678,4645,3910,3910,3911,3912,4829,4645,4305,1599,1578,1638,1631,1402,1426,1200
ERR2092980,5135,5123,5148,6399,6387,4716,4600,3097,3091,3098,4237,4211,4198,4172,4009,4009,4010,4011,4943,4128,3852,1595,1572,1669,1662,1370,1401,1314
ERR2092981,5131,5118,5143,6387,6398,4716,4599,3096,3090,3097,4236,4208,4208,4179,4008,4008,4009,4010,4939,4126,3854,1598,1576,1671,1665,1373,1404,1317
ERR1045849,5500,5492,5481,4716,4716,5652,4870,3205,3198,3206,4308,4295,4644,4631,3820,3820,3824,3822,4720,4498,4080,1585,1558,1600,1584,1314,1317,1187
ERR1045852,4858,4846,4853,4600,4599,4870,5605,3318,3311,3319,4533,4520,4816,4802,3496,3496,3497,3498,4431,4213,3845,1539,1520,1560,1544,1282,1285,1228
SRR447229,3196,3191,3192,3097,3096,3205,3318,3589,3579,3588,3482,3482,3374,3371,3150,3152,3151,3153,3024,2630,2401,966,965,955,955,800,800,760
SRR447230,3189,3184,3184,3091,3090,3198,3311,3579,3582,3581,3478,3477,3368,3366,3142,3144,3143,3144,3018,2628,2398,965,964,954,954,797,797,757
SRR447234,3197,3192,3192,3098,3097,3206,3319,3588,3581,3591,3482,3483,3374,3372,3150,3152,3151,3152,3025,2631,2401,966,965,955,955,799,799,760
SRR515127,4316,4308,4313,4237,4236,4308,4533,3482,3478,3482,4969,4928,4508,4479,3316,3316,3317,3320,4062,3493,3212,1330,1327,1361,1356,1207,1207,1102
SRR515554,4289,4280,4285,4211,4208,4295,4520,3482,3477,3483,4928,4936,4479,4481,3317,3317,3318,3319,4049,3486,3199,1325,1321,1358,1347,1194,1194,1098
SRR515126,4681,4671,4678,4198,4208,4644,4816,3374,3368,3374,4508,4479,5772,5713,3390,3392,3391,3392,4148,4527,4180,1514,1509,1537,1530,1307,1313,1334
SRR515552,4650,4644,4645,4172,4179,4631,4802,3371,3366,3372,4479,4481,5713,5725,3385,3387,3386,3387,4135,4494,4151,1512,1507,1536,1524,1295,1301,1323
SRR064779,3894,3889,3910,4009,4008,3820,3496,3150,3142,3150,3316,3317,3390,3385,4379,4376,4369,4373,3995,3161,3049,1208,1206,1214,1212,919,922,922
SRR447236,3894,3889,3910,4009,4008,3820,3496,3152,3144,3152,3316,3317,3392,3387,4376,4378,4369,4372,3995,3163,3049,1208,1206,1214,1212,921,924,924
SRR447245,3895,3891,3911,4010,4009,3824,3497,3151,3143,3151,3317,3318,3391,3386,4369,4369,4382,4371,3996,3161,3047,1209,1207,1216,1214,920,923,925
SRR447239,3896,3891,3912,4011,4010,3822,3498,3153,3144,3152,3320,3319,3392,3387,4373,4372,4371,4387,3997,3163,3049,1207,1205,1214,1212,921,924,924
ERR1045847,4817,4809,4829,4943,4939,4720,4431,3024,3018,3025,4062,4049,4148,4135,3995,3995,3996,3997,5378,4118,3762,1477,1454,1522,1506,1293,1296,1193
ERR1045795,4641,4642,4645,4128,4126,4498,4213,2630,2628,2631,3493,3486,4527,4494,3161,3163,3161,3163,4118,7666,6026,2083,2061,2118,2097,1765,1774,1572
SRR2095366,4290,4290,4305,3852,3854,4080,3845,2401,2398,2401,3212,3199,4180,4151,3049,3049,3047,3049,3762,6026,7701,2306,2304,2353,2342,1885,1895,1598
ERR1045798,1589,1592,1599,1595,1598,1585,1539,966,965,966,1330,1325,1514,1512,1208,1208,1209,1207,1477,2083,2306,10684,10533,9394,9204,4627,4627,3950
SRR6000499,1568,1570,1578,1572,1576,1558,1520,965,964,965,1327,1321,1509,1507,1206,1206,1207,1205,1454,2061,2304,10533,10536,9285,9116,4576,4576,3914
ERR1045859,1630,1659,1638,1669,1671,1600,1560,955,954,955,1361,1358,1537,1536,1214,1214,1216,1214,1522,2118,2353,9394,9285,10660,10422,4544,4545,3945
SRR3664368,1623,1651,1631,1662,1665,1584,1544,955,954,955,1356,1347,1530,1524,1212,1212,1214,1212,1506,2097,2342,9204,9116,10422,10469,4466,4478,3856
SRR1151145,1403,1404,1402,1370,1373,1314,1282,800,797,799,1207,1194,1307,1295,919,921,920,921,1293,1765,1885,4627,4576,4544,4466,10460,10452,3939
SRR5364843,1427,1425,1426,1401,1404,1317,1285,800,797,799,1207,1194,1313,1301,922,924,923,924,1296,1774,1895,4627,4576,4545,4478,10452,10647,3953
ERR1045815,1201,1199,1200,1314,1317,1187,1228,760,757,760,1102,1098,1334,1323,922,924,925,924,1193,1572,1598,3950,3914,3945,3856,3939,3953,10015
