"","times_snp_appears"
"252",1
"306",1
"3735",1
"3945",1
"3988",1
"4028",1
"4073",1
"4077",1
"4140",1
"4192",1
"4269",1
"4293",1
"4322",1
"4427",1
"4602",1
"4633",1
"4695",1
"4758",1
"4782",1
"4797",1
"4827",1
"4836",1
"5118",1
"5240",1
"5259",1
"5286",1
"5373",1
"5397",1
"5415",1
"5438",1
"5634",1
"5700",1
"5751",1
"5811",1
"6195",1
"6327",1
"6330",1
"6846",1
"6909",1
"6921",1
"6990",1
"7035",1
"7053",1
"7144",1
"7216",1
"7233",1
"7247",1
"7262",1
"7273",1
"7275",1
"7333",1
"7359",1
"7414",1
"7432",1
"7744",1
"7791",1
"7888",1
"7910",1
"7957",1
"7978",1
"8068",1
"8074",1
"8080",1
"8127",1
"8160",1
"8302",1
"8565",1
"8725",1
"8731",1
"8764",1
"8779",1
"8797",1
"8872",1
"8873",1
"8895",1
"9049",1
"9197",1
"9232",1
"9283",1
"9367",1
"9378",1
"9442",1
"9460",1
"9497",1
"9535",1
"9584",1
"9636",1
"9649",1
"9887",1
"10204",1
"10223",1
"10424",1
"10479",1
"10743",1
"10749",1
"10776",1
"11025",1
"11049",1
"11154",1
"11340",1
"11532",1
"11628",1
"11632",1
"12048",1
"12102",1
"12108",1
"12111",1
"12148",1
"12162",1
"12238",1
"12261",1
"12306",1
"12345",1
"12576",1
"12591",1
"12597",1
"12633",1
"12708",1
"12780",1
"12789",1
"12795",1
"12804",1
"12818",1
"12819",1
"12828",1
"12840",1
"12853",1
"12865",1
"12883",1
"12891",1
"12921",1
"12927",1
"12930",1
"12939",1
"12942",1
"12972",1
"12981",1
"12999",1
"13039",1
"13168",1
"13186",1
"13218",1
"13265",1
"13287",1
"13348",1
"13543",1
"13546",1
"13626",1
"13807",1
"13816",1
"13876",1
"13897",1
"13927",1
"13960",1
"14165",1
"14249",1
"14437",1
"14569",1
"14573",1
"14791",1
"14814",1
"14958",1
"15006",1
"15293",1
"15295",1
"15446",1
"15532",1
"15565",1
"15568",1
"15622",1
"15730",1
"15742",1
"15745",1
"15754",1
"15761",1
"15781",1
"15785",1
"15793",1
"15794",1
"15799",1
"15811",1
"15816",1
"15823",1
"15832",1
"15835",1
"15838",1
"15839",1
"15841",1
"15916",1
"15961",1
"15993",1
"16006",1
"16138",1
"16210",1
"16216",1
"16242",1
"16291",1
"16324",1
"16390",1
"16423",1
"16436",1
"16470",1
"16528",1
"16573",1
"16598",1
"16633",1
"16730",1
"17167",1
"17171",1
"17198",1
"17204",1
"17208",1
"17249",1
"17286",1
"17307",1
"17321",1
"17597",1
"17729",1
"17873",1
"17891",1
"17920",1
"17979",1
"18053",1
"18203",1
"18213",1
"18279",1
"18383",1
"18416",1
"18427",1
"18729",1
"18733",1
"18855",1
"18899",1
"18952",1
"19244",1
"19250",1
"19256",1
"19316",1
"19366",1
"19400",1
"19472",1
"19548",1
"19562",1
"19580",1
"19715",1
"19756",1
"19773",1
"19793",1
"19811",1
"19916",1
"19929",1
"19940",2
"20180",1
"20213",1
"20357",1
"20505",1
"20519",1
"20679",1
"20696",1
"20785",1
"20813",1
"20862",1
"20962",1
"20996",1
"21088",1
"21142",1
"21187",1
"21202",1
"21282",1
"21313",1
"21316",1
"21346",1
"21553",1
"21613",1
"21806",1
"21954",1
"22014",1
"22035",1
"22048",1
"22134",1
"22349",1
"22358",1
"22376",1
"22398",1
"22543",1
"22638",1
"22666",1
"22698",1
"22702",1
"22736",1
"22752",1
"22836",1
"22912",1
"22948",1
"22961",1
"22962",1
"23039",1
"23198",1
"23400",1
"23410",1
"23736",1
"23869",1
"23915",1
"23971",1
"24335",1
"24378",1
"24412",1
"24426",1
"24645",1
"24732",1
"24755",1
"24996",1
"25124",1
"25241",1
"25263",1
"25275",1
"25278",1
"25354",1
"25386",1
"25397",1
"25443",1
"25502",2
"25626",1
"25674",1
"25843",1
"25992",1
"26016",1
"26042",1
"26241",1
"26496",1
"26637",1
"26788",1
"26850",1
"26904",1
"26998",1
"27035",1
"27144",1
"27156",1
"27273",1
"27324",1
"28021",1
"28082",1
"28089",1
"28096",1
"28204",1
"28267",1
"28311",1
"28450",1
"28483",1
"28516",1
"28543",1
"28616",1
"28633",1
"28662",1
"28669",1
"28780",1
"29070",1
"29080",1
"29088",1
"29164",1
"29218",1
"29304",1
"29367",1
"29458",1
"29461",1
"29548",1
"29632",1
"29656",1
"29671",1
"29698",1
"29709",1
"29731",1
"29859",1
"29959",1
"30241",1
"30253",1
"30340",1
"30370",1
"30418",1
"30505",1
"30532",1
"30607",1
"30616",1
"30630",1
"30736",1
"30883",1
"31292",1
"31510",1
"31571",1
"31727",1
"31739",1
"31768",1
"31804",1
"31875",1
"31922",1
"32150",1
"32187",1
"32297",1
"32354",1
"32378",1
"32381",1
"32405",1
"32417",1
"32522",1
"32658",1
"32687",1
"32699",1
"32741",1
"32753",1
"32807",1
"32951",1
"32975",1
"32981",1
"33029",1
"33047",1
"33323",1
"33422",1
"33487",1
"33539",1
"33916",1
"34043",1
"34199",1
"34274",1
"34331",1
"34400",1
"34466",1
"34487",1
"34523",1
"34535",1
"34676",1
"34914",1
"34971",1
"34992",1
"35064",1
"35070",1
"35073",1
"35103",1
"35130",1
"35164",1
"35217",1
"35336",1
"35489",1
"35746",1
"36174",1
"36201",1
"36219",1
"36750",1
"36751",1
"36872",1
"37130",1
"37136",1
"37295",1
"37325",1
"37427",1
"37430",1
"37457",1
"37463",1
"37502",1
"37523",1
"37562",1
"37655",1
"37937",1
"38058",1
"38189",1
"38204",1
"38510",1
"38555",1
"38664",1
"38666",1
"38697",1
"38797",1
"38807",1
"38906",1
"38909",1
"38921",1
"38939",1
"39029",1
"39032",1
"39059",1
"39080",1
"39131",1
"39203",1
"39329",1
"39353",1
"39378",1
"39476",1
"39653",1
"39743",1
"39755",1
"39854",1
"39926",1
"39962",1
"40079",1
"40128",1
"40176",1
"40185",1
"40239",1
"40263",1
"40273",1
"40325",1
"40528",1
"40546",1
"40568",1
"40607",1
"40643",1
"40691",1
"40699",1
"40745",1
"40772",1
"40796",1
"40886",1
"40900",1
"40907",1
"40938",1
"40961",1
"41008",1
"41063",2
"41116",1
"41123",1
"41129",1
"41191",1
"41251",1
"41258",1
"41261",1
"41267",1
"41268",1
"41269",1
"41274",1
"41288",1
"41294",1
"41297",1
"41302",1
"41303",1
"41304",1
"41306",1
"41309",1
"41620",1
"41964",1
"41986",1
"41997",1
"42003",1
"42087",1
"42099",1
"42168",1
"42303",1
"42354",1
"42480",1
"42489",1
"42515",1
"42544",1
"42552",1
"42625",1
"42669",1
"42714",1
"42774",1
"42813",1
"42865",1
"42933",1
"43041",1
"43068",1
"43284",1
"43331",1
"43382",1
"43396",1
"43414",1
"43463",1
"43571",1
"43574",1
"43640",1
"43703",1
"43850",1
"43886",1
"44041",1
"44131",1
"44254",1
"44365",1
"44373",1
"44396",1
"44435",1
"44440",1
"44859",1
"44875",1
"44911",1
"44965",1
"45154",1
"45180",1
"45565",1
"45604",1
"45698",1
"45748",1
"45752",1
"45789",1
"45797",1
"45802",1
"45804",1
"45837",1
"45860",1
"45893",1
"45937",1
"45938",1
"45940",1
"45941",1
"45945",1
"45946",1
"45954",1
"45956",1
"46120",1
"46234",1
"46252",1
"46286",1
"46309",1
"46375",1
"46432",1
"46438",1
"46450",1
"46458",1
"46462",1
"46495",1
"46519",1
"46522",1
"46528",1
"46531",1
"46534",1
"46537",1
"46543",1
"46546",1
"46555",1
"46564",1
"46567",1
"46576",1
"46579",1
"46606",1
"46609",1
"46639",1
"46645",1
"46675",1
"46678",1
"46690",1
"46693",1
"46696",1
"46708",1
"46711",1
"46712",1
"46720",1
"46732",1
"46738",1
"46750",1
"46759",1
"46762",1
"46765",1
"46766",1
"46771",1
"46773",1
"46780",1
"46783",1
"47074",1
"47077",1
"47095",1
"47096",1
"47100",1
"47106",1
"47108",1
"47138",1
"47165",1
"47178",1
"47179",1
"47193",1
"47201",1
"47212",1
"47220",1
"47227",1
"47244",2
"47300",1
"47305",1
"47311",1
"47312",1
"47316",1
"47329",1
"47338",1
"47350",1
"47355",1
"47364",1
"47373",1
"47403",1
"47430",1
"47433",1
"47445",1
"47457",1
"47460",1
"47463",1
"47478",1
"47484",1
"47490",1
"47493",1
"47502",1
"47519",1
"47526",1
"47529",1
"47547",1
"47550",1
"47556",1
"47586",1
"47604",1
"47605",1
"47607",1
"47612",1
"47613",1
"47620",1
"47625",1
"47627",1
"47628",1
"47631",1
"47634",1
"47647",1
"47649",1
"47652",1
"47658",1
"47662",1
"47667",1
"47673",1
"47700",1
"47712",1
"47739",1
"47795",1
"47799",1
"47841",1
"47871",1
"47913",1
"47997",1
"48018",1
"48052",1
"48126",1
"48246",1
"48288",1
"48297",1
"48324",1
"48352",1
"48378",1
"48392",1
"48419",1
"48484",1
"48523",1
"48533",1
"48562",1
"48611",1
"48681",1
"48683",1
"48685",1
"48693",1
"48694",1
"48702",1
"48705",1
"48708",1
"48711",1
"48714",1
"48721",1
"48723",1
"48734",1
"48736",1
"48737",1
"48738",1
"48739",1
"48741",1
"48816",1
"48817",1
"48819",1
"48821",1
"48837",1
"48852",1
"48855",1
"48861",1
"48870",1
"48879",1
"48882",1
"48892",1
"48894",1
"48918",1
"49112",1
"49183",1
"49205",1
"49215",1
"49218",1
"49219",1
